pedestrianId evacuationTime-PID1
1 25.99999999999997
2 56.4000000000002
3 31.200000000000372
4 46.000000000000654
5 32.800000000000466
6 33.20000000000047
7 28.80000000000041
8 38.400000000000546
9 22.399999999999864
10 25.599999999998545
11 37.199999999997885
12 28.799999999998363
13 28.399999999998386
14 36.39999999999793
15 26.3999999999985
16 31.99999999999818
17 29.19999999999834
18 27.999999999998465
19 34.79999999999802
20 32.39999999999816
21 23.999999999998636
22 32.39999999999816
23 29.599999999998317
24 30.399999999998272
25 24.399999999998613
26 26.799999999998477
27 31.199999999998226
28 31.599999999998204
29 28.399999999998386
30 25.199999999998568
31 27.99999999999841
32 27.99999999999841
33 33.99999999999807
34 28.799999999998363
35 28.40000000000532
36 33.20000000000755
37 28.400000000006457
38 30.00000000000682
39 30.00000000000682
40 32.40000000000737
