pedestrianId evacuationTime-PID1
1 28.79999999999996
2 31.19999999999989
3 32.000000000000384
4 39.20000000000056
5 29.200000000000415
6 26.80000000000038
7 30.800000000000438
8 29.200000000000415
9 32.399999999999295
10 33.19999999999811
11 25.999999999998522
12 31.99999999999818
13 33.59999999999809
14 28.799999999998363
15 33.19999999999811
16 40.79999999999768
17 34.79999999999808
18 28.79999999999842
19 28.799999999998363
20 23.19999999999868
21 25.999999999998522
22 25.999999999998522
23 32.799999999998136
24 39.19999999999777
25 25.199999999998568
26 60.39999999999657
27 29.999999999998295
28 27.99999999999841
29 40.3999999999977
30 26.3999999999985
31 33.59999999999809
32 26.3999999999985
33 31.599999999998204
34 38.79999999999916
35 27.60000000000514
36 23.600000000005366
37 24.000000000005457
38 21.60000000000491
39 26.400000000006003
40 28.000000000006366
