N, sklearn_mean, sklearn_sd, self_mean, self_sd,
1000, 0.14, 0.019, 0.16, 0.034
2000, 0.60, 0.221, 0.41, 0.912
3000, 1.30, 0.155, 1.38, 0.465
4000, 2.21, 0.052, 1.65, 0.275
5000, 4.29, 0.062, 2.75, 0.532
6000, 7.22, 0.561, 3.31, 0.039
7000, 9.81, 0.186, 4.58, 0.062 
8000, 14.4, 0.151, 6.74, 0.798
9000, 18.2, 0.339, 8.14, 0.393
10000,24.6, 0.994, 11.0, 2.170
