pedestrianId simTime targetId-PID8 groupId-PID9
1 0.0 2 0
2 0.0 2 0
3 0.0 2 0
4 0.0 2 0
5 0.0 2 0
6 0.0 2 0
7 0.0 2 0
8 0.0 2 0
9 0.0 2 0
10 0.0 2 0
11 0.0 2 0
12 0.0 2 0
13 0.0 2 0
14 0.0 2 0
15 0.0 2 0
16 0.0 2 0
17 0.0 2 0
18 0.0 2 0
19 0.0 2 0
20 0.0 2 0
21 0.0 2 1
22 0.0 2 1
23 0.0 2 1
24 0.0 2 1
25 0.0 2 1
26 0.0 2 1
27 0.0 2 1
28 0.0 2 1
29 0.0 2 1
30 0.0 2 1
31 0.0 2 1
32 0.0 2 1
33 0.0 2 1
34 0.0 2 1
35 0.0 2 1
36 0.0 2 1
37 0.0 2 1
38 0.0 2 1
39 0.0 2 1
40 0.0 2 1
41 0.0 2 1
42 0.0 2 1
43 0.0 2 1
44 0.0 2 1
45 0.0 2 1
46 0.0 2 1
47 0.0 2 1
48 0.0 2 1
49 0.0 2 1
50 0.0 2 1
51 0.0 2 1
52 0.0 2 1
53 0.0 2 1
54 0.0 2 1
55 0.0 2 1
56 0.0 2 1
57 0.0 2 1
58 0.0 2 1
59 0.0 2 1
60 0.0 2 1
61 0.0 2 1
62 0.0 2 1
63 0.0 2 1
64 0.0 2 1
65 0.0 2 1
66 0.0 2 1
67 0.0 2 1
68 0.0 2 1
69 0.0 2 1
70 0.0 2 1
71 0.0 2 1
72 0.0 2 1
73 0.0 2 1
74 0.0 2 1
75 0.0 2 1
76 0.0 2 1
77 0.0 2 1
78 0.0 2 1
79 0.0 2 1
80 0.0 2 0
81 0.0 2 1
82 0.0 2 1
83 0.0 2 1
84 0.0 2 1
85 0.0 2 1
86 0.0 2 1
87 0.0 2 1
88 0.0 2 1
89 0.0 2 1
90 0.0 2 1
91 0.0 2 1
92 0.0 2 1
93 0.0 2 1
94 0.0 2 1
95 0.0 2 1
96 0.0 2 0
97 0.0 2 1
98 0.0 2 1
99 0.0 2 1
100 0.0 4 1
101 0.0 4 1
102 0.0 4 1
103 0.0 4 1
104 0.0 4 1
105 0.0 4 1
106 0.0 4 1
107 0.0 4 1
108 0.0 4 1
109 0.0 4 1
110 0.0 4 1
111 0.0 4 1
112 0.0 4 1
113 0.0 4 1
114 0.0 4 0
115 0.0 4 1
116 0.0 4 1
117 0.0 4 1
118 0.0 4 1
119 0.0 4 1
120 0.0 4 1
121 0.0 4 1
122 0.0 4 1
123 0.0 4 1
124 0.0 4 1
125 0.0 4 1
126 0.0 4 1
127 0.0 4 1
128 0.0 4 1
129 0.0 4 1
130 0.0 4 1
131 0.0 4 1
132 0.0 4 1
133 0.0 4 1
134 0.0 4 1
135 0.0 4 1
136 0.0 4 1
137 0.0 4 1
138 0.0 4 1
139 0.0 4 1
140 0.0 4 1
141 0.0 4 1
142 0.0 4 1
143 0.0 4 1
144 0.0 4 1
145 0.0 4 1
146 0.0 4 1
147 0.0 4 1
148 0.0 4 1
149 0.0 4 1
150 0.0 4 1
151 0.0 4 1
152 0.0 4 1
153 0.0 4 1
154 0.0 4 1
155 0.0 4 1
156 0.0 4 1
157 0.0 4 1
158 0.0 4 1
159 0.0 4 1
160 0.0 4 1
161 0.0 4 1
162 0.0 4 1
163 0.0 4 1
164 0.0 4 1
165 0.0 4 1
166 0.0 4 1
167 0.0 4 1
168 0.0 4 1
169 0.0 4 1
170 0.0 4 1
171 0.0 4 1
172 0.0 4 1
173 0.0 4 1
174 0.0 4 1
175 0.0 4 1
176 0.0 4 1
177 0.0 4 1
178 0.0 4 1
179 0.0 4 1
180 0.0 4 1
181 0.0 4 1
182 0.0 4 1
183 0.0 4 1
184 0.0 4 1
185 0.0 4 1
186 0.0 4 1
187 0.0 4 1
188 0.0 4 1
189 0.0 4 1
190 0.0 4 1
191 0.0 4 0
192 0.0 4 1
193 0.0 4 1
194 0.0 4 1
195 0.0 4 1
196 0.0 4 1
197 0.0 4 1
198 0.0 4 1
199 0.4 2 1
200 0.4 4 1
144 0.43428719287436424 4 1
47 0.44681351567838473 2 1
11 0.4504743835724719 2 0
64 0.45699390126598044 2 1
49 0.46760540237531056 2 1
55 0.4707044221608915 2 1
126 0.4751201874926633 4 1
156 0.476204555286125 4 1
84 0.4814613788866067 2 1
123 0.48224371191732823 4 1
170 0.4826151661660147 4 1
26 0.4837111125515599 2 1
66 0.4887667114665609 2 1
197 0.4922889684015639 4 1
77 0.4931046807684591 2 1
157 0.4966360043694341 4 1
51 0.4986228581972293 2 1
22 0.4991200042462582 2 1
21 0.5007647105326889 2 1
12 0.5028220978116285 2 0
191 0.502827116555755 4 0
138 0.5052138421894654 4 1
177 0.5052960202608662 4 1
128 0.5061305201001823 4 1
89 0.5088149319835237 2 1
28 0.5092838051853568 2 1
1 0.5097613619313722 2 0
52 0.5100920329977092 2 1
198 0.510310673131956 4 1
139 0.5105108297606595 4 1
130 0.5116486949412322 4 1
104 0.5155191461789754 4 1
124 0.5171259155090898 4 1
56 0.5171553226370283 2 1
54 0.5178537935719174 2 1
34 0.5193905196506075 2 1
23 0.5196382566366868 2 1
173 0.5210317740488619 4 1
65 0.5211805418204997 2 1
186 0.5218335906450594 4 1
20 0.5218757807959961 2 0
107 0.5220033831312245 4 1
16 0.5264936166071283 2 0
40 0.5265500854531936 2 1
58 0.529487949528863 2 1
169 0.5301143080782992 4 1
93 0.5322442814560036 2 1
188 0.5329475352167313 4 1
133 0.5331905061442744 4 1
15 0.5332838377698126 2 0
162 0.5362303360092895 4 1
97 0.5362419263479772 2 1
146 0.5368266526349188 4 1
79 0.5376701532331202 2 1
5 0.5390469465100713 2 0
60 0.539735101707458 2 1
135 0.5406736984148721 4 1
7 0.5410057295673607 2 0
10 0.5436287599763685 2 0
81 0.5443358044577906 2 1
98 0.5454249110890782 2 1
137 0.5459901743758481 4 1
152 0.5474953821034786 4 1
172 0.548435610995625 4 1
175 0.5500247609969564 4 1
50 0.5507826914338494 2 1
2 0.5532475703397893 2 0
182 0.5535384114236563 4 1
3 0.5537911360550702 2 0
189 0.5546345534846643 4 1
185 0.5570966227285452 4 1
18 0.5573200167995142 2 0
45 0.5579730906584864 2 1
87 0.5601441336271351 2 1
160 0.5602608104992497 4 1
78 0.5604946848765295 2 1
75 0.5618657894106931 2 1
53 0.5631762009748313 2 1
90 0.56509489340788 2 1
71 0.5657778095024308 2 1
61 0.5663893741886031 2 1
158 0.5671671554415819 4 1
165 0.5676823249113842 4 1
178 0.5712094664869855 4 1
48 0.5713993327995338 2 1
8 0.5714734904712727 2 0
113 0.5722386282975679 4 1
30 0.5725267655174902 2 1
134 0.5733641870546857 4 1
164 0.5738103774563301 4 1
39 0.574455574900998 2 1
187 0.5754094164273224 4 1
125 0.5758509264386561 4 1
118 0.5769966243208796 4 1
25 0.5770441048662545 2 1
95 0.579164125087544 2 1
80 0.5792494157470429 2 0
83 0.5792644127256502 2 1
27 0.5801645045948683 2 1
99 0.5808277953140185 2 1
106 0.5825125247473292 4 1
29 0.5826854294639208 2 1
141 0.582706827660363 4 1
108 0.5849356904320167 4 1
168 0.5857426912329359 4 1
63 0.5879162518784056 2 1
62 0.5894908410931506 2 1
181 0.5895918238112788 4 1
17 0.5899076541167808 2 0
109 0.5900310037995395 4 1
13 0.5901722322901916 2 0
176 0.5913482579538976 4 1
6 0.591929207646388 2 0
105 0.5929495028221636 4 1
32 0.5952421322495766 2 1
76 0.595252800123373 2 1
122 0.597336753887792 4 1
179 0.5977225084297798 4 1
85 0.5980026557283008 2 1
69 0.6010096599226477 2 1
190 0.6046548220693423 4 1
92 0.6047254911556499 2 1
115 0.6058328040808056 4 1
19 0.6070448233921178 2 0
136 0.6073483438500706 4 1
151 0.6086700280909457 4 1
132 0.6116151059674859 4 1
192 0.6138059457796857 4 1
96 0.6155674304268773 2 0
67 0.6171414922906416 2 1
86 0.6176272171422136 2 1
110 0.6190328276294572 4 1
43 0.6195033148943044 2 1
116 0.6217146089740635 4 1
112 0.6224325636892759 4 1
148 0.6227002326989682 4 1
59 0.6248576940524841 2 1
184 0.6249321967589071 4 1
143 0.625787610977782 4 1
70 0.6265006836274516 2 1
68 0.6265397484444496 2 1
121 0.6279177310554621 4 1
101 0.6304863670149665 4 1
73 0.6345363765862975 2 1
194 0.6353034474631056 4 1
91 0.6353808471768047 2 1
31 0.6354774089886256 2 1
114 0.637945189364993 4 0
117 0.640375143892224 4 1
163 0.6406249893542248 4 1
155 0.6422197834223027 4 1
42 0.6427366086650786 2 1
37 0.6434281057897668 2 1
41 0.6464570105253177 2 1
149 0.6470303738445059 4 1
72 0.648948520220343 2 1
140 0.6492355426396476 4 1
103 0.6492582664775643 4 1
180 0.6515533407775496 4 1
9 0.6517401560489515 2 0
147 0.6520050131212723 4 1
57 0.6520842366438342 2 1
119 0.6541950562530607 4 1
129 0.6549484402134961 4 1
88 0.6645225024095954 2 1
171 0.6663797210120118 4 1
111 0.6675469704180189 4 1
195 0.6682626700793762 4 1
102 0.6700075944111953 4 1
174 0.6722248583492836 4 1
166 0.6784700798652792 4 1
14 0.6796202029278574 2 0
74 0.6826298773470746 2 1
150 0.6880699733550245 4 1
4 0.696372379445262 2 0
33 0.7008203374275832 2 1
100 0.7013311582786613 4 1
24 0.7017895605326363 2 0
154 0.7060472697918221 4 1
159 0.7073174008001156 4 1
120 0.708522467582134 4 1
127 0.7160709180691194 4 1
153 0.7189835209812531 4 1
183 0.7201861954906815 4 1
196 0.7271460130578186 4 1
44 0.7280842170171382 2 1
94 0.7329649611567355 2 0
193 0.7369591343955125 4 1
142 0.7384453402566055 4 1
161 0.7467820476859738 4 1
167 0.746961341315959 4 1
38 0.7578996343162538 2 1
36 0.7773871324148927 2 1
46 0.784795871862526 2 1
35 0.8086063483390793 2 1
131 0.8146644543890851 4 1
