N, Datafold_mean, Datafold_sd, self_mean, self_sd
1000, 0.304, 0.024, 5.070, 0.303
2000, 0.465, 0.033, 10.40, 0.279
3000, 0.775, 0.031, 20.10, 0.245
4000, 0.046, 0.004, 42.50, 1.830
5000, 1.820, 0.067, 77.00, 8.620
6000, 3.400, 0.165, 124.0, 4.040
7000, 3.720, 0.100
8000, 4.000, 0.126
9000, 5.570, 0.173
10000,7.200, 0.242
11000,7.610, 0.254
12000,9.390, 0.235
13000,11.30, 0.397
14000,12.30, 0.294
15000,16.70, 0.321
